EbN0_dB,BER_AWGN,BER_CDL_C
0.0,3.20699056e-01,3.33175659e-01
1.0,2.96966553e-01,3.07037354e-01
2.0,2.67684937e-01,2.79693604e-01
3.0,2.38718669e-01,2.58600871e-01
4.0,1.98755900e-01,2.18343099e-01
5.0,1.43417358e-01,1.70928955e-01
6.0,1.00199382e-02,8.05969238e-02
7.0,0.00000000e+00,2.23032633e-02
8.0,0.00000000e+00,4.31315104e-03
9.0,0.00000000e+00,1.57674154e-03
10.0,0.00000000e+00,0.00000000e+00
11.0,0.00000000e+00,1.08337402e-03
12.0,0.00000000e+00,1.58182780e-03
13.0,0.00000000e+00,4.27246094e-04
14.0,0.00000000e+00,0.00000000e+00
15.0,0.00000000e+00,0.00000000e+00
